,,,,,,,,,,,,,,,,,,,,,,,,,,
,Información General,,,,,,,,,,,,,,,,,,,,,,,,,
 ,FECHA,SEMANA,DÍA,PROFESOR,,,,,,,,,,,,,,,,,,,,,,
,22/12/2025,19,Lunes,Ignacio Bordon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Planificación por Nivel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfa y Delta,,,,,,,Sigma,,,,,,,Omega,,,,,,,,,,,
,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,,,,,
,19,Lunes,FL,DS,HSPU,PS,,19,Lunes,FL,OAP,DS,HT,,19,Lunes,FL,OAP,HSPU,MN/RP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruta,Intensidad,Patrón Activo,,,Intensidad,Reps por Bloque,Dificultad,Ejercicios por Bloque,,Intensidad,Total Ejercicios,Concentrico,Excentrico,Isometrico,,,,,,,,,,,
omega,Deuteros 2,omega,,,,,,,,,,,,,,,,,,,,,,,,
omega,Deuteros 2,,,MOVILIDAD,,,,,BOX PIKE HANG ,,,,,,"20"" ",,,,,,,,,,,
alfa,Epikos,delta,PS,LOWER,,,1,,REVERSE TO SQUAT  PS ,CON.,,,4,,,,EMOM,2,4´,,1.00,,,,,
alfa,Epikos,delta,PS,LOWER,,,1,,PS SHUFFLE WALL  ,CON.,,,6,,,,,,,,,,,,,
alfa,Epikos,delta,,,,,,,,,,,,,,,,,,,,,,,,
alfa,Epikos,alfa,,,,,,,,,,,,,,,,,,,,,,,,
alfa,Epikos,alfa,,,,,,,,,,,,,,,,,,,,,,,,
alfa,Epikos,alfa,,,,,,,,,,,,,,,,,,,,,,,,
delta,Epikos,sigma,PS,,,,1,CON.,REVERSE TO PS JUMP ,,,,4,,,,,,,,1.00,,,,,
delta,Epikos,sigma,PS,,,,1,,CYCLIST PS ,CON.,,,6,,,,,,,,,,,,,
delta,Epikos,sigma,,,,,,,,,,,,,,,,,,,,,,,,
delta,Epikos,delta,,,,,,,,,,,,,,,,,,,,,,,,
delta,Epikos,delta,,,,,,,,,,,,,,,,,,,,,,,,
delta,Epikos,delta,,,,,,,,,,,,,,,,,,,,,,,,
sigma,Epikos,sigma,,LOWER,,,1,,HT EXP SHUFFLE  ,CON.,,,30,,,,,,,,1.00,,,,,
sigma,Epikos,sigma,,LOWER,,,1,,LUNGE JUMP SCISSOR  ,CON.,,,20,,,,,,,,,,,,,
sigma,Epikos,sigma,,,,,,,,,,,,,,,,,,,,,,,,
sigma,Epikos,delta,,,,,,,,,,,,,,,,,,,,,,,,
sigma,Epikos,sigma,,,,,,,,,,,,,,,,,,,,,,,,
sigma,Epikos,sigma,,,,,,,,,,,,,,,,,,,,,,,,
omega,Epikos,omega,,PULL,,,1,CON.,V-SIT PRESS ,,,,20,,,,,,,,1.00,,,,,
omega,Epikos,omega,,PULL,,,1,EXC.,DP  STR,,,,20,,,,,,,,,,,,,
omega,Epikos,omega,,,,,,,,,,,,,,,,,,,,,,,,
omega,Epikos,sigma,,,,,,,,,,,,,,,,,,,,,,,,
omega,Epikos,omega,,,,,,,,,,,,,,,,,,,,,,,,
omega,Epikos,,,MOVILIDAD,,,,,GENTLEMAN TO PLEGADO,,,,10,,,,,,,,,,,,,
