,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deuteros 1,alfa,• QC PARCIAL   ISO.,"20""",,,,,,,,,,,,,,Deuteros 1,alfa,• TTB 90 PIKE CON.,,2 • 3 • 4,,,,,,,,,,,,,Deuteros 1,alfa,• SUMO SQ  ISO.,"30""",,,,,,,,,,,,,,Deuteros 1,alfa,• P.U KNEE CON.,15,,EMOM,,6´,,,,,,,,,,Deuteros 1,sigma,• V-SIT TUCK ,30,,,,,,,,,,,,,,Deuteros 1,alfa,• SOLEO SQ   CON.,40,,,,,,,,,,,,
,,,Deuteros 1,delta,• DP ON BOX   EXC.,10,,,,,,,,,,,,,,Deuteros 1,delta,• TTB L TO V SUPINE PIKE CON.,,1 • 2 • 3,,,,,,,,,,,,,Deuteros 1,delta,• BULGARIAN LUNGE   EXC.,6 • 10,,,,,,,,,,,,,,Deuteros 1,alfa,• BOX WIDE P.U PIKE EXC.,10,,,,,,,,,,,,,,Deuteros 1,sigma,• TTB TO INVERTED PIKE,30,,,,,,,,,,,,,,Deuteros 1,delta,• HT RING  EXC.,30,,,,,,,,,,,,
,,,Deuteros 1,delta,• PS   CON.,12,,,,,,,,,,,,,,Deuteros 1,delta,• TTB TO INVERTED PIKE CON.,,2 • 3 • 4,,,,,,,,,,,,,Deuteros 1,delta,• DEEP LS  W   CON.,8 • 12,,,,,,,,,,,,,,Deuteros 1,alfa,• PU QUAD CON.,15,,,,,,,,,,,,,,Deuteros 1,sigma,• L-SIT  STR,"120""",,,,,,,,,,,,,,Deuteros 1,delta,• RH STR  CON.,30,,,,,,,,,,,,
,,,Deuteros 1,delta,• QC    ISO.,"20""",,,,,,,,,,,,,,Deuteros 1,sigma,• CASETA PL   ISO.,,"4"" • 6"" • 8""",,,,,,,,,,,,,Deuteros 1,delta,• PSU W  ISO.,"30""",,,,,,,,,,,,,,Deuteros 1,delta,• P.U RINGS WIDE HOR CON.,15,,,,,,,,,,,,,,Deuteros 1,omega,• MUSCLE UP BAR,30,,,,,,,,,,,,,,Deuteros 1,delta,• DEEP LS  W   ISO.,"100""",,,,,,,,,,,,
,,,Deuteros 1,sigma,• PL.UP WIDE TYPEWRITER CON.,8,,,,,,,,,,,,,,Deuteros 1,sigma,• PLPU CASETA EXC.,,2 • 3 • 4,,,,,,,,,,,,,Deuteros 1,sigma,• PS TEMPO W  EXC.,1 • 3,,,,,,,,,,,,,,Deuteros 1,delta,• P.U ARCHER PIKE EXC.,10,,,,,,,,,,,,,,Deuteros 1,omega,• DP  STR,30,,,,,,,,,,,,,,Deuteros 1,sigma,• PS PULSE W  EXC.,6,,,,,,,,,,,,
,,,Deuteros 1,sigma,• ROW OA HORIZONTAL EXC.,12,,,,,,,,,,,,,,Deuteros 1,omega,• PS W ISO ,,"4"" • 6"" • 8""",,,,,,,,,,,,,Deuteros 1,sigma,• DROP JUMP O.L   CON.,1 • 3,,,,,,,,,,,,,,Deuteros 1,delta,• P.U DEFICIT BOX PIKE CON.,15,,,,,,,,,,,,,,Deuteros 1,omega,• ROW FRONT WIDE  PIKE,"120""",,,,,,,,,,,,,,Deuteros 1,sigma,• ARCHER COUCH STRETCH KNEE SPAGAT  CON.,10,,,,,,,,,,,,
,,,Deuteros 1,sigma,• PL.UP L-SIT MID  ARCHER ISO.,"20""""",,,,,,,,,,,,,,Deuteros 1,omega,• SEIZA TO PISTOL ,,2 • 3 • 4,,,,,,,,,,,,,Deuteros 1,sigma,• STEP DOWN W  ISO.,"10""",,,,,,,,,,,,,,Deuteros 1,sigma,• NC  W  CON.,10,,,,,,,,,,,,,,Deuteros 1,omega,• TABLE  ,"20""",,,,,,,,,,,,,,Deuteros 1,sigma,• PS W  ISO.,"20""",,,,,,,,,,,,
,,,Deuteros 1,omega,• OAP ASSISTED FINGERS CON.,12,,,,,,,,,,,,,,Deuteros 1,omega,• WARRIOR HEIGHT PIGEON ,12,,,,,,,,,,,,,,Deuteros 1,omega,• STRADDLE PHS FREE CON.,8 • 12,,,,,,,,,,,,,,Deuteros 1,sigma,• HT L. ON BOX OL W  EXC.,10,,,,,,,,,,,,,,Deuteros 2,alfa,• REVERSE TO SQUAT  CON.,30,,Cluster,,,,,,,,,,,,Deuteros 1,omega,• SISSY SQ OL ASIST EXC.,30,,,,,,,,,,,,
,,,Deuteros 1,omega,• OAC ASSISTED  EXC.,8,,,,,,,,,,,,,,Deuteros 2,alfa,• HINDU SQ   CON.,,10 • 12 • 14,Ladder corta,,,,,,,,,,,,Deuteros 1,omega,•  PHS WALL  EXC.,8 • 12,,,,,,,,,,,,,,Deuteros 1,sigma,• DEADLIFT RAISED TOES OL  EXC.,15,,,,,,,,,,,,,,Deuteros 2,alfa,• DEADLIFT W   EXC.,30,,,,,,,,,,,,,,Deuteros 1,omega,• PIGEON UP AND DOWN SPAGAT  ISO.,"100""",,,,,,,,,,,,
,,,Deuteros 1,omega,• OAP MID ASSISTED FINGERS ISO.,"20""",,,,,,,,,,,,,,Deuteros 2,alfa,• QC ASSISTED   EXC.,,10 • 12 • 14,,,,,,,,,,,,,Deuteros 1,omega,• PIKE PRESS P-BARS ISO.,"30""",,,,,,,,,,,,,,Deuteros 1,omega,• NC FULL ROM W  EXC.,10,,,,,,,,,,,,,,Deuteros 2,alfa,• HT RING  ISO.,"120""",,,,,,,,,,,,,,Deuteros 1,omega,• GOOSE WALK W   CON.,40,,,,,,,,,,,,
